date;age;covid;covid7
2020-03-01;Total;2;
2020-03-02;Total;5;
2020-03-03;Total;9;
2020-03-04;Total;7;
2020-03-05;Total;18;
2020-03-06;Total;13;
2020-03-07;Total;12;66
2020-03-08;Total;7;71
2020-03-09;Total;93;159
2020-03-10;Total;162;312
2020-03-11;Total;207;512
2020-03-12;Total;361;855
2020-03-13;Total;554;1396
2020-03-14;Total;359;1743
2020-03-15;Total;482;2218
2020-03-16;Total;1329;3454
2020-03-17;Total;1138;4430
2020-03-18;Total;1364;5587
2020-03-19;Total;1461;6687
2020-03-20;Total;1631;7764
2020-03-21;Total;1070;8475
2020-03-22;Total;971;8964
2020-03-23;Total;2323;9958
2020-03-24;Total;1936;10756
2020-03-25;Total;1827;11219
2020-03-26;Total;1828;11586
2020-03-27;Total;1637;11592
2020-03-28;Total;1151;11673
2020-03-29;Total;1009;11711
2020-03-30;Total;1959;11347
2020-03-31;Total;1480;10891
2020-04-01;Total;1408;10472
2020-04-02;Total;1350;9994
2020-04-03;Total;1399;9756
2020-04-04;Total;754;9359
2020-04-05;Total;569;8919
2020-04-06;Total;1429;8389
2020-04-07;Total;1188;8097
2020-04-08;Total;1287;7976
2020-04-09;Total;1342;7968
2020-04-10;Total;1099;7668
2020-04-11;Total;804;7718
2020-04-12;Total;527;7676
2020-04-13;Total;761;7008
2020-04-14;Total;1179;6999
2020-04-15;Total;1261;6973
2020-04-16;Total;1149;6780
2020-04-17;Total;1507;7188
2020-04-18;Total;669;7053
2020-04-19;Total;414;6940
2020-04-20;Total;849;7028
2020-04-21;Total;885;6734
2020-04-22;Total;877;6350
2020-04-23;Total;667;5868
2020-04-24;Total;649;5010
2020-04-25;Total;317;4658
2020-04-26;Total;244;4488
2020-04-27;Total;345;3984
2020-04-28;Total;446;3545
2020-04-29;Total;461;3129
2020-04-30;Total;321;2783
2020-05-01;Total;213;2347
2020-05-02;Total;160;2190
2020-05-03;Total;77;2023
2020-05-04;Total;234;1912
2020-05-05;Total;228;1694
2020-05-06;Total;241;1474
2020-05-07;Total;160;1313
2020-05-08;Total;205;1305
2020-05-09;Total;149;1294
2020-05-10;Total;87;1304
2020-05-11;Total;213;1283
2020-05-12;Total;219;1274
2020-05-13;Total;196;1229
2020-05-14;Total;200;1269
2020-05-15;Total;211;1275
2020-05-16;Total;117;1243
2020-05-17;Total;55;1211
2020-05-18;Total;223;1221
2020-05-19;Total;247;1249
2020-05-20;Total;215;1268
2020-05-21;Total;272;1340
2020-05-22;Total;265;1394
2020-05-23;Total;102;1379
2020-05-24;Total;131;1455
2020-05-25;Total;228;1460
2020-05-26;Total;189;1402
2020-05-27;Total;164;1351
2020-05-28;Total;173;1252
2020-05-29;Total;197;1184
2020-05-30;Total;109;1191
2020-05-31;Total;47;1107
2020-06-01;Total;79;958
2020-06-02;Total;118;887
2020-06-03;Total;123;846
2020-06-04;Total;143;816
2020-06-05;Total;180;799
2020-06-06;Total;57;747
2020-06-07;Total;45;745
2020-06-08;Total;114;780
2020-06-09;Total;94;756
2020-06-10;Total;121;754
2020-06-11;Total;72;683
2020-06-12;Total;112;615
2020-06-13;Total;33;591
2020-06-14;Total;24;570
2020-06-15;Total;91;547
2020-06-16;Total;88;541
2020-10-02;Total;1806;8834
2020-10-03;Total;691;8965
2020-10-04;Total;591;9133
2020-10-05;Total;2150;9711
2020-10-06;Total;2069;10305
2020-10-07;Total;2193;11058
2020-10-08;Total;2514;12014
2020-10-09;Total;2901;13109
2020-10-10;Total;1212;13630
2020-10-11;Total;1156;14195
2020-10-12;Total;1328;13373
2020-10-13;Total;3698;15002
2020-10-14;Total;3767;16576
2020-10-15;Total;3694;17756
2020-10-16;Total;4107;18962
2020-10-17;Total;1897;19647
2020-10-18;Total;1668;20159
2020-10-19;Total;5607;24438
2020-10-20;Total;5728;26468
2020-10-21;Total;5991;28692
2020-10-22;Total;5860;30858
2020-10-23;Total;5703;32454
2020-10-24;Total;2529;33086
2020-10-25;Total;1982;33400
2020-10-26;Total;6451;34244
2020-10-27;Total;5804;34320
2020-10-28;Total;5380;33709
2020-10-29;Total;4631;32480
2020-10-30;Total;4936;31713
