date;N;N7;age
2014-09-01;9;38;Total
2014-09-02;7;38;Total
2014-09-03;13;46;Total
2014-09-04;7;48;Total
2014-09-05;10;53;Total
2014-09-06;4;52;Total
2014-09-07;2;52;Total
2014-09-08;9;52;Total
2014-09-09;12;57;Total
2014-09-10;8;52;Total
2014-09-11;1;46;Total
2014-09-12;12;48;Total
2014-09-13;5;49;Total
2014-09-14;2;49;Total
2014-09-15;11;51;Total
2014-09-16;14;53;Total
2014-09-17;12;57;Total
2014-09-18;8;64;Total
2014-09-19;11;63;Total
2014-09-20;5;63;Total
2014-09-21;8;69;Total
2014-09-22;19;77;Total
2014-09-23;12;75;Total
2014-09-24;17;80;Total
2014-09-25;20;92;Total
2014-09-26;20;101;Total
2014-09-27;15;111;Total
2014-09-28;5;108;Total
2014-09-29;36;125;Total
2014-09-30;40;153;Total
2014-10-01;35;171;Total
2014-10-02;23;174;Total
2014-10-03;29;183;Total
2014-10-04;14;182;Total
2014-10-05;5;182;Total
2014-10-06;45;191;Total
2014-10-07;33;184;Total
2014-10-08;46;195;Total
2014-10-09;33;205;Total
2014-10-10;36;212;Total
2014-10-11;16;214;Total
2014-10-12;9;218;Total
2014-10-13;51;224;Total
2014-10-14;76;267;Total
2014-10-15;61;282;Total
2014-10-16;43;292;Total
2014-10-17;33;289;Total
2014-10-18;16;289;Total
2014-10-19;8;288;Total
2014-10-20;61;298;Total
2014-10-21;43;265;Total
2014-10-22;62;266;Total
2014-10-23;47;270;Total
2014-10-24;31;268;Total
2014-10-25;12;264;Total
2014-10-26;13;269;Total
2014-10-27;51;259;Total
2014-10-28;55;271;Total
2014-10-29;43;252;Total
2014-10-30;40;245;Total
2014-10-31;47;261;Total
2014-11-01;7;256;Total
2014-11-02;12;255;Total
2014-11-03;77;281;Total
2014-11-04;55;281;Total
2014-11-05;54;292;Total
2014-11-06;59;311;Total
2014-11-07;54;318;Total
2014-11-08;16;327;Total
2014-11-09;13;328;Total
2014-11-10;109;360;Total
2014-11-11;73;378;Total
2014-11-12;76;400;Total
2014-11-13;81;422;Total
2014-11-14;77;445;Total
2014-11-15;18;447;Total
2014-11-16;14;448;Total
2014-11-17;122;461;Total
2014-11-18;95;483;Total
2014-11-19;86;493;Total
2014-11-20;71;483;Total
2014-11-21;69;475;Total
2014-11-22;13;470;Total
2014-11-23;24;480;Total
2014-11-24;114;472;Total
2014-11-25;88;465;Total
2014-11-26;69;448;Total
2014-11-27;80;457;Total
2014-11-28;61;449;Total
2014-11-29;23;459;Total
2014-11-30;8;443;Total
2014-12-01;99;428;Total
2014-12-02;98;438;Total
2014-12-03;102;471;Total
2014-12-04;102;493;Total
2014-12-05;57;489;Total
2014-12-06;23;489;Total
2014-12-07;18;499;Total
2014-12-08;23;423;Total
2014-12-09;177;502;Total
2014-12-10;136;536;Total
2014-12-11;146;580;Total
2014-12-12;111;634;Total
2014-12-13;34;645;Total
2014-12-14;21;648;Total
2014-12-15;204;829;Total
2014-12-16;156;808;Total
2014-12-17;156;828;Total
2014-12-18;137;819;Total
2014-12-19;104;812;Total
2014-12-20;46;824;Total
2014-12-21;32;835;Total
2014-12-22;166;797;Total
2014-12-23;121;762;Total
2014-12-24;110;716;Total
2014-12-25;24;603;Total
2014-12-26;48;547;Total
2014-12-27;84;585;Total
2014-12-28;64;617;Total
2014-12-29;316;767;Total
2014-12-30;216;862;Total
2014-12-31;155;907;Total
2015-01-01;57;940;Total
2015-01-02;260;1152;Total
2015-01-03;101;1169;Total
2015-01-04;113;1218;Total
2015-01-05;354;1256;Total
2015-01-06;77;1117;Total
2015-01-07;486;1448;Total
2015-01-08;452;1843;Total
2015-01-09;399;1982;Total
2015-01-10;143;2024;Total
