Season;date;N;N7;age;flu_pick
2014-2015;2014-09-01;121;445;Total;
2014-2015;2014-09-01;27;109;Younger than 15;
2014-2015;2014-09-01;66;202;Between 15 and 64;
2014-2015;2014-09-01;28;134;Older than 64;
2014-2015;2014-09-02;79;451;Total;
2014-2015;2014-09-02;24;109;Younger than 15;
2014-2015;2014-09-02;30;206;Between 15 and 64;
2014-2015;2014-09-02;25;136;Older than 64;
2014-2015;2014-09-03;79;469;Total;
2014-2015;2014-09-03;19;110;Younger than 15;
2014-2015;2014-09-03;36;221;Between 15 and 64;
2014-2015;2014-09-03;24;138;Older than 64;
2014-2015;2014-09-04;99;478;Total;
2014-2015;2014-09-04;24;113;Younger than 15;
2014-2015;2014-09-04;32;214;Between 15 and 64;
2014-2015;2014-09-04;43;151;Older than 64;
2014-2015;2014-09-05;76;485;Total;
2014-2015;2014-09-05;20;116;Younger than 15;
2014-2015;2014-09-05;29;211;Between 15 and 64;
2014-2015;2014-09-05;27;158;Older than 64;
2014-2015;2014-09-06;16;479;Total;
2014-2015;2014-09-06;2;116;Younger than 15;
2014-2015;2014-09-06;11;211;Between 15 and 64;
2014-2015;2014-09-06;3;152;Older than 64;
2014-2015;2014-09-07;15;485;Total;
2014-2015;2014-09-07;2;118;Younger than 15;
2014-2015;2014-09-07;10;214;Between 15 and 64;
2014-2015;2014-09-07;3;153;Older than 64;
2014-2015;2014-09-08;111;475;Total;
2014-2015;2014-09-08;24;115;Younger than 15;
2014-2015;2014-09-08;50;198;Between 15 and 64;
2014-2015;2014-09-08;37;162;Older than 64;
2014-2015;2014-09-09;89;485;Total;
2014-2015;2014-09-09;21;112;Younger than 15;
2014-2015;2014-09-09;27;195;Between 15 and 64;
2014-2015;2014-09-09;41;178;Older than 64;
2014-2015;2014-09-10;86;492;Total;
2014-2015;2014-09-10;21;114;Younger than 15;
2014-2015;2014-09-10;30;189;Between 15 and 64;
2014-2015;2014-09-10;35;189;Older than 64;
2014-2015;2014-09-11;20;413;Total;
2014-2015;2014-09-11;0;90;Younger than 15;
2014-2015;2014-09-11;9;166;Between 15 and 64;
2014-2015;2014-09-11;11;157;Older than 64;
2014-2015;2014-09-12;92;429;Total;
2014-2015;2014-09-12;18;88;Younger than 15;
2014-2015;2014-09-12;34;171;Between 15 and 64;
2014-2015;2014-09-12;40;170;Older than 64;
2014-2015;2014-09-13;20;433;Total;
2014-2015;2014-09-13;4;90;Younger than 15;
2014-2015;2014-09-13;10;170;Between 15 and 64;
2014-2015;2014-09-13;6;173;Older than 64;
2014-2015;2014-09-14;19;437;Total;
2014-2015;2014-09-14;0;88;Younger than 15;
2014-2015;2014-09-14;10;170;Between 15 and 64;
2014-2015;2014-09-14;9;179;Older than 64;
2014-2015;2014-09-15;99;425;Total;
2014-2015;2014-09-15;20;84;Younger than 15;
2014-2015;2014-09-15;41;161;Between 15 and 64;
2014-2015;2014-09-15;38;180;Older than 64;
2014-2015;2014-09-16;82;418;Total;
2014-2015;2014-09-16;17;80;Younger than 15;
2014-2015;2014-09-16;37;171;Between 15 and 64;
2014-2015;2014-09-16;28;167;Older than 64;
2014-2015;2014-09-17;96;428;Total;
2014-2015;2014-09-17;21;80;Younger than 15;
2014-2015;2014-09-17;42;183;Between 15 and 64;
2014-2015;2014-09-17;33;165;Older than 64;
2014-2015;2014-09-18;98;506;Total;
2014-2015;2014-09-18;21;101;Younger than 15;
2014-2015;2014-09-18;42;216;Between 15 and 64;
2014-2015;2014-09-18;35;189;Older than 64;
2014-2015;2014-09-19;100;514;Total;
2014-2015;2014-09-19;20;103;Younger than 15;
2014-2015;2014-09-19;38;220;Between 15 and 64;
2014-2015;2014-09-19;42;191;Older than 64;
2014-2015;2014-09-20;23;517;Total;
2014-2015;2014-09-20;2;101;Younger than 15;
2014-2015;2014-09-20;14;224;Between 15 and 64;
2014-2015;2014-09-20;7;192;Older than 64;
2014-2015;2014-09-21;16;514;Total;
2014-2015;2014-09-21;3;104;Younger than 15;
2014-2015;2014-09-21;10;224;Between 15 and 64;
2014-2015;2014-09-21;3;186;Older than 64;
2014-2015;2014-09-22;92;507;Total;
2014-2015;2014-09-22;21;105;Younger than 15;
2014-2015;2014-09-22;47;230;Between 15 and 64;
2014-2015;2014-09-22;24;172;Older than 64;
2014-2015;2014-09-23;75;500;Total;
2014-2015;2014-09-23;18;106;Younger than 15;
2014-2015;2014-09-23;27;220;Between 15 and 64;
2014-2015;2014-09-23;30;174;Older than 64;
2014-2015;2014-09-24;63;467;Total;
2014-2015;2014-09-24;14;99;Younger than 15;
2014-2015;2014-09-24;27;205;Between 15 and 64;
2014-2015;2014-09-24;22;163;Older than 64;
2014-2015;2014-09-25;100;469;Total;
2014-2015;2014-09-25;27;105;Younger than 15;
2014-2015;2014-09-25;42;205;Between 15 and 64;
2014-2015;2014-09-25;31;159;Older than 64;
2014-2015;2014-09-26;88;457;Total;
2014-2015;2014-09-26;28;113;Younger than 15;
2014-2015;2014-09-26;37;204;Between 15 and 64;
2014-2015;2014-09-26;23;140;Older than 64;
2014-2015;2014-09-27;19;453;Total;
2014-2015;2014-09-27;4;115;Younger than 15;
2014-2015;2014-09-27;11;201;Between 15 and 64;
2014-2015;2014-09-27;4;137;Older than 64;
2014-2015;2014-09-28;15;452;Total;
2014-2015;2014-09-28;4;116;Younger than 15;
2014-2015;2014-09-28;6;197;Between 15 and 64;
2014-2015;2014-09-28;5;139;Older than 64;
2014-2015;2014-09-29;134;494;Total;
2014-2015;2014-09-29;44;139;Younger than 15;
2014-2015;2014-09-29;51;201;Between 15 and 64;
2014-2015;2014-09-29;39;154;Older than 64;
2014-2015;2014-09-30;108;527;Total;
2014-2015;2014-09-30;31;152;Younger than 15;
2014-2015;2014-09-30;39;213;Between 15 and 64;
2014-2015;2014-09-30;38;162;Older than 64;
2014-2015;2014-10-01;102;566;Total;
2014-2015;2014-10-01;31;169;Younger than 15;
2014-2015;2014-10-01;40;226;Between 15 and 64;
2014-2015;2014-10-01;31;171;Older than 64;
2014-2015;2014-10-02;100;566;Total;
2014-2015;2014-10-02;23;165;Younger than 15;
2014-2015;2014-10-02;52;236;Between 15 and 64;
2014-2015;2014-10-02;25;165;Older than 64;
2014-2015;2014-10-03;119;597;Total;
2014-2015;2014-10-03;37;174;Younger than 15;
2014-2015;2014-10-03;44;243;Between 15 and 64;
2014-2015;2014-10-03;38;180;Older than 64;
2014-2015;2014-10-04;22;600;Total;
2014-2015;2014-10-04;5;175;Younger than 15;
2014-2015;2014-10-04;10;242;Between 15 and 64;
2014-2015;2014-10-04;7;183;Older than 64;
2014-2015;2014-10-05;13;598;Total;
2014-2015;2014-10-05;4;175;Younger than 15;
2014-2015;2014-10-05;4;240;Between 15 and 64;
2014-2015;2014-10-05;5;183;Older than 64;
2014-2015;2014-10-06;155;619;Total;
